execution_mode,market_data_mode,symbol,candle_count,random_seed,short_window,long_window,trend_filter_enabled,trend_window,trend_slope_filter_enabled,trend_slope_lookback,volatility_filter_enabled,volatility_window,min_volatility_pct,regime_filter_enabled,regime_window,min_regime_volatility_pct,signal_confirmation_bars,warmup_bars,momentum_filter_enabled,momentum_window,min_momentum_rsi,breakout_filter_enabled,breakout_strict_mode,breakout_lookback,min_trend_strength_pct,stop_loss_pct,take_profit_pct,max_drawdown_limit_pct,position_size_pct,fee_rate,final_balance,return_pct,total_trades,closed_trades,win_rate_pct,avg_pnl,best_trade_pnl,worst_trade_pnl,profit_factor,avg_win_pnl,avg_loss_pnl,max_drawdown_pct
paper,simulated,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.03,1.5,0.5,0.001,9958.618683564091,-0.4138131643590892,8,4,25.0,-10.345329108977921,138.87356324993743,-60.36314266023146,0.7704288698978266,138.87356324993743,-60.08495989528304,1.691121461490904
paper,simulated,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.1,0.01,0.03,1.5,0.5,0.001,9958.618683564091,-0.4138131643590892,8,4,25.0,-10.345329108977921,138.87356324993743,-60.36314266023146,0.7704288698978266,138.87356324993743,-60.08495989528304,1.691121461490904
paper,binance_historical,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.03,1.5,0.5,0.001,10009.844670781235,0.09844670781233855,8,4,25.0,2.461167695308177,139.71028971029045,-60.72683635046269,1.075806598100538,139.71028971029045,-43.28853964301925,1.8549074282154279
paper,binance_historical,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.05,1.5,0.5,0.001,10267.714040776864,2.67714040776863,14,7,28.57142857142857,38.24486296812237,242.10598485479386,-61.863956135353874,2.251570803967427,240.80823718264173,-42.78048671768538,1.5583716909033294
paper,binance_historical,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.02,0.03,1.5,0.5,0.001,10019.602003537511,0.1960200353751107,6,3,33.33333333333333,6.534001179169536,139.71028971029045,-111.32409199192352,1.1632027577956623,139.71028971029045,-60.05414308639092,1.7592381787800364
paper,binance_historical,BTCUSDT,300,5,5,20,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.02,0.05,1.5,0.5,0.001,10243.736239555994,2.437362395559939,12,6,33.33333333333333,40.622706592665054,242.34198338765873,-112.41980047924062,2.0236019448777216,240.92623644907417,-59.5290583355395,1.8838996617250172
paper,binance_historical,BTCUSDT,300,5,5,30,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.03,1.5,0.5,0.001,9966.700730016077,-0.33299269983922963,10,5,20.0,-6.659853996784841,139.06001573257436,-60.44418657921415,0.8068031562935588,139.06001573257436,-43.08982142912464,1.8209585531112067
paper,binance_historical,BTCUSDT,300,5,5,30,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.05,1.5,0.5,0.001,9990.9237583876,-0.09076241612400171,4,2,50.0,-4.538120806201732,37.46821685683608,-46.544458469239544,0.8049984485607067,37.46821685683608,-46.544458469239544,1.6302496165975864
paper,binance_historical,BTCUSDT,300,5,5,30,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.02,0.03,1.5,0.5,0.001,9976.41600719604,-0.23583992803960507,8,4,25.0,-5.895998200991016,139.06001573257436,-110.80594003428996,0.8549962398481721,139.06001573257436,-54.214669512179476,1.7252562112071324
paper,binance_historical,BTCUSDT,300,5,5,30,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.02,0.05,1.5,0.5,0.001,9990.9237583876,-0.09076241612400171,4,2,50.0,-4.538120806201732,37.46821685683608,-46.544458469239544,0.8049984485607067,37.46821685683608,-46.544458469239544,1.6302496165975864
paper,binance_historical,BTCUSDT,300,5,5,50,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.03,1.5,0.5,0.001,9990.68997561837,-0.093100243816302,8,4,25.0,-2.327506095407898,139.71028971029045,-60.72683635046269,0.9375251324736252,139.71028971029045,-49.67343803064068,2.098330058805841
paper,binance_historical,BTCUSDT,300,5,5,50,True,50,True,3,False,20,0.1,False,50,0.3,0,0,False,14,55.0,True,False,5,0.05,0.01,0.05,1.5,0.5,0.001,10330.666135804106,3.306661358041052,10,5,40.0,66.13322716082057,241.6426943153774,-61.3245408437715,3.197306280845381,240.5765919129335,-50.16234934058806,1.6180597096607883
