row_type,symbol,historical_offset,return_pct,max_drawdown_pct,profit_factor,avg_return_pct,std_return_pct,worst_return_pct,best_return_pct,avg_drawdown,worst_drawdown,robustness_score
offset,BTCUSDT,0,0.064663,4.280621,1.015354,,,,,,,
offset,BTCUSDT,500,3.396030,0.954216,4.105568,,,,,,,
offset,BTCUSDT,1000,1.247376,1.232173,2.206889,,,,,,,
offset,BTCUSDT,1500,0.184402,1.232173,1.152832,,,,,,,
offset,ETHUSDT,0,-4.600306,4.827424,0.459420,,,,,,,
offset,ETHUSDT,500,-1.266724,4.189687,0.724615,,,,,,,
offset,ETHUSDT,1000,-2.356689,4.344815,0.384669,,,,,,,
offset,ETHUSDT,1500,-0.576794,3.572467,0.791520,,,,,,,
offset,BNBUSDT,0,-0.329299,1.744028,0.839346,,,,,,,
offset,BNBUSDT,500,-0.052635,1.744028,0.965395,,,,,,,
offset,BNBUSDT,1000,-0.566309,1.757404,0.665193,,,,,,,
offset,BNBUSDT,1500,-0.109202,1.547860,0.911530,,,,,,,
offset,SOLUSDT,0,-2.070083,5.196821,0.560306,,,,,,,
offset,SOLUSDT,500,-1.276229,5.196821,0.640434,,,,,,,
offset,SOLUSDT,1000,-1.112395,5.196821,0.693221,,,,,,,
offset,SOLUSDT,1500,-1.153163,5.196821,0.685425,,,,,,,
asset_aggregate,BTCUSDT,aggregate,,,,1.223118,1.336327,0.064663,3.396030,1.924796,4.280621,-4.393830
asset_aggregate,ETHUSDT,aggregate,,,,-2.200128,1.524125,-4.600306,-0.576794,4.233598,4.827424,-8.551677
asset_aggregate,BNBUSDT,aggregate,,,,-0.264361,0.202665,-0.566309,-0.052635,1.698330,1.757404,-2.224430
asset_aggregate,SOLUSDT,aggregate,,,,-1.402967,0.389852,-2.070083,-1.112395,5.196821,5.196821,-6.989641
global_aggregate,ALL,aggregate,,,,-0.661085,1.652909,-4.600306,3.396030,3.263386,5.196821,-7.510815
