row_type,volatility_percentile,historical_offset,return_pct,max_drawdown_pct,profit_factor,avg_return_pct,std_return_pct,worst_return_pct,best_return_pct,avg_drawdown,worst_drawdown,robustness_score
offset,p40,0,-3.080428,4.215193,0.224932,,,,,,,
offset,p40,500,0.410581,0.049950,inf,,,,,,,
offset,p40,1000,0.154787,3.022425,1.095913,,,,,,,
offset,p40,1500,0.233089,2.489779,1.151766,,,,,,,
aggregate,p40,aggregate,,,,-0.570493,1.452072,-3.080428,0.410581,2.444337,4.215193,-6.237758
offset,p50,0,-2.923097,4.687659,0.341239,,,,,,,
offset,p50,500,-0.354014,0.954216,0.536991,,,,,,,
offset,p50,1000,0.606676,2.126341,1.393545,,,,,,,
offset,p50,1500,-0.463520,1.713980,0.696086,,,,,,,
aggregate,p50,aggregate,,,,-0.783489,1.303583,-2.923097,0.606676,2.370549,4.687659,-6.774731
offset,p60,0,-2.196963,3.950847,0.405149,,,,,,,
offset,p60,500,-1.222118,2.063957,0.249790,,,,,,,
offset,p60,1000,-0.463520,1.713980,0.696086,,,,,,,
offset,p60,1500,0.155303,1.345929,1.139276,,,,,,,
aggregate,p60,aggregate,,,,-0.931824,0.878351,-2.196963,0.155303,2.268678,3.950847,-5.761022
offset,p70,0,-2.231697,3.950847,0.401374,,,,,,,
offset,p70,500,-0.556199,1.526046,0.642665,,,,,,,
offset,p70,1000,0.155303,1.345929,1.139276,,,,,,,
offset,p70,1500,0.237391,1.345929,1.229811,,,,,,,
aggregate,p70,aggregate,,,,-0.598800,0.991974,-2.231697,0.237391,2.042188,3.950847,-5.541621
