short_window,long_window,stop_loss_pct,take_profit_pct,position_size_pct,max_drawdown_limit_pct,count,avg_return_pct,avg_profit_factor,avg_drawdown,win_rate_pct,best_return,worst_return
8,30,0.01,0.05,0.5,1.5,2,2.7102,2.3073,1.5086,100.0000,2.7102,2.7102
10,20,0.01,0.05,0.5,1.5,2,2.7102,2.3073,1.6051,100.0000,2.7102,2.7102
10,20,0.02,0.05,0.5,1.5,2,2.2942,1.9298,1.5092,100.0000,2.2942,2.2942
10,50,0.02,0.05,0.5,1.5,2,2.1559,1.8284,1.5324,100.0000,2.1559,2.1559
5,20,0.01,0.05,0.5,1.5,2,2.0622,1.7567,1.5584,100.0000,2.0622,2.0622
8,20,0.02,0.05,0.5,1.5,2,1.6512,1.5102,1.7627,100.0000,1.6512,1.6512
5,30,0.02,0.05,0.5,1.5,2,1.5967,1.4852,1.8100,100.0000,1.5967,1.5967
5,30,0.01,0.05,0.5,1.5,2,1.4455,1.4172,2.3532,100.0000,1.4455,1.4455
8,20,0.01,0.05,0.5,1.5,2,1.4455,1.4172,2.3532,100.0000,1.4455,1.4455
5,20,0.02,0.05,0.5,1.5,2,1.4261,1.4270,1.7741,100.0000,1.4261,1.4261
8,50,0.01,0.05,0.5,1.5,2,1.3508,1.3872,1.6123,100.0000,1.3508,1.3508
8,50,0.02,0.05,0.5,1.5,2,1.1557,1.3202,1.5786,100.0000,1.1557,1.1557
10,30,0.01,0.05,0.5,1.5,2,1.0953,1.2968,1.8025,100.0000,1.0953,1.0953
8,30,0.02,0.05,0.5,1.5,2,1.0676,1.2890,1.5027,100.0000,1.0676,1.0676
10,30,0.02,0.05,0.5,1.5,2,0.9499,1.2491,1.5449,100.0000,0.9499,0.9499
