short_window,long_window,stop_loss_pct,take_profit_pct,position_size_pct,max_drawdown_limit_pct,count,closed_trades,zero_trade_runs,zero_trade_rate,low_trade_runs,low_trade_rate,trade_activity_score,avg_return_pct,avg_profit_factor,adjusted_return,adjusted_profit_factor,avg_drawdown,win_rate_pct,best_return,worst_return
5,50,0.02,0.05,0.5,1.5,20,2.2000,0,0.0000,12,0.6000,0.5000,2.0334,1.8444,1.0167,0.9222,1.4522,70.0000,3.4074,-0.0428
8,20,0.02,0.05,0.5,1.5,20,3.3000,4,0.2000,10,0.5000,0.5000,1.6339,1.6651,0.8170,0.8325,1.2482,80.0000,2.7717,0.0000
5,20,0.01,0.05,0.5,1.5,20,3.9000,4,0.2000,10,0.5000,0.5000,1.5792,2.1919,0.7896,1.0960,1.2232,80.0000,2.7321,0.0000
8,20,0.01,0.05,0.5,1.5,20,3.8000,4,0.2000,10,0.5000,0.5000,1.5587,1.5551,0.7794,0.7776,1.2723,80.0000,2.6716,0.0000
5,20,0.02,0.05,0.5,1.5,20,3.4000,4,0.2000,10,0.5000,0.5000,1.4593,2.0511,0.7297,1.0256,1.3859,80.0000,2.4922,0.0000
8,30,0.02,0.05,0.5,1.5,20,2.9000,0,0.0000,12,0.6000,0.5000,1.2451,4.0642,0.6225,2.0321,1.4118,90.0000,4.4726,-0.6833
5,50,0.01,0.05,0.5,1.5,20,2.3000,0,0.0000,12,0.6000,0.5000,1.2063,1.0181,0.6031,0.5090,1.4927,70.0000,3.3067,-0.0428
8,30,0.01,0.05,0.5,1.5,20,3.6000,0,0.0000,12,0.6000,0.5000,0.9995,3.8985,0.4997,1.9492,1.6215,90.0000,4.4726,-1.0210
8,20,0.02,0.03,0.5,1.5,20,2.2000,4,0.2000,6,0.3000,1.0000,0.3673,1.0239,0.3673,1.0239,1.2878,70.0000,1.6849,-0.5623
8,30,0.02,0.03,0.5,1.5,20,2.8000,0,0.0000,4,0.2000,1.0000,0.2968,1.8525,0.2968,1.8525,1.5015,90.0000,2.4460,-0.6833
5,30,0.02,0.05,0.5,1.5,20,2.7000,0,0.0000,14,0.7000,0.5000,0.4167,1.1412,0.2083,0.5706,1.5532,70.0000,1.6728,-0.9383
8,30,0.01,0.03,0.5,1.5,20,3.5000,0,0.0000,4,0.2000,1.0000,0.1948,1.8051,0.1948,1.8051,1.6021,20.0000,2.4460,-1.0210
5,30,0.01,0.05,0.5,1.5,20,3.1000,0,0.0000,14,0.7000,0.5000,0.3190,1.0392,0.1595,0.5196,1.6285,70.0000,1.5222,-0.8913
5,20,0.02,0.03,0.5,1.5,20,2.3000,4,0.2000,6,0.3000,1.0000,0.1330,1.1287,0.1330,1.1287,1.3469,60.0000,1.0234,-0.5623
5,20,0.01,0.03,0.5,1.5,24,2.8750,4,0.1667,8,0.3333,1.0000,0.0854,1.0307,0.0854,1.0307,1.2609,66.6667,1.0234,-0.6922
